name,intent,response,chips,prompt
kebabs,kebabs,"Kebabs & Kurries, serving north west frontier cuisine",where is japanese restaurant | where is italian resturant | who are you,"Kebabs & Kurries, serving north west frontier cuisine"
edo,edo,Edo - Japanese resto bar,where is japanese restaurant| where is italian resturant,Edo - Japanese resto bar
,,,,
ABOUT HOTEL,,,,
name,about,My name is Maya and I would be delighted to help you,what is your name | who are you | name | who art thou,
hotel,about,ITC Gardenia is a green luxury business hotel in Bengaluru and takes its inspiration from the surrounding lush gardens and verdant foliage,tell me about the hotel | can you tell me about hotel | explain this hotel | what is this hotel,
Responsible Luxury,about,"Responsible Luxury is the effective combination of luxury and responsible practices.TC Gardenia uses frontier green technologies in its systems like water recycling, energy and waste management, along with eco friendly materials in its architecture and decor, to offer 5 star luxury for the discerning business traveller, with the soft touch of nature.",what is responsible luxury | tell me about responsible luxury | explain responsible luxury,
City,about,"Bangalore, officially known as Bengaluru, is the capital of the Indian state of Karnataka. It has a population of over ten million, making it a megacity and the third-most populous city and fifth-most populous urban agglomeration in India.",tell me about the city | tell me about bangalore | what about the city | explain bangalore | about bangalore,
ABOUT RESTAURENTS,,,,
restaurant,about,we have six distinct dining destinations featuring Indian & international cuisine along with some of the world’s most well-appreciated and prized beverages.,tell me about the restaurants | what about the restaurants | where is the restaurants | restaurants | what are the restaurents avaliable | show me to restaurants,
Kebabs & Kurries,about,Kebabs & Kurries is where great curries are served along with the most exquisite kebabs in the land.,what is Kebabs and Kurries | about Kebabs and Kurries | explain Kebabs and Kurries | what is K and k | explain K and K | about K and K | what about K and K | what about Kebabs And Kurries | tell me about K and K | tell me about Kebabs and Kurries,
Ottimo,about,"Ottimo, which translates to ‘Excellent’, in an endeavour to bring a slice of Italy to the Garden city.",what is Ottimo | about Ottimo | explain Ottimo | what about Ottimo tell me about Ottimo | Ottimo,
Edo,about,"EDO, brings to you an exquisite spread of authentic Sushi, Sashimi, Tempura & more.",what is EDO | about EDO | explain EDO | what about EDO | tell me about EDO | EDO,
Continental restaurant,about,"We do not have a continental specialty restaurant. However, we have a continental section in our all day dining menu at Cubbon Pavilion & Lotus Pavilion. Alaternatively, we have Ottimo - Italian specialty restaurant",where is continental restaurant | do you have any continental restaurants | continental food,
South Indian restaurant,about,"We do not have a south Indian specialty restaurant. However, we have a south Indian classics section in our all day dining menu at Cubbon Pavilion & Lotus Pavilion. ",where is south indian restaurant | do you have any south indian restaurants | south indian ,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Brindavan Gardens,About,,"Spread over 60 acres, is located at a distance of 21 kms away from Mysore. Built across the notable river of India, Cauvery. The well-synchronised fountain show with music, boating and well-manicured grass with flowerbeds are some of the top experiences of Brindavan Gardens.",
Mysore Palace,About,,"An incredibly breathtaking example of Indo - Saracenic style of architecture, the Palace is a magnificent edifice located in Mysore. The facade of the palace is a harmonious blend of Hindu, Muslim, Rajput and Gothic styles which imparts it a regal quality. Needless to say, it is one of the most visited historical monument visited by both local and foreign tourists in India. Mysore Palace is renowned for its light & sound show and vibrant Dussehra celebrations.",
Chamundeshwari Temple,About ,,"The Chamundeshwari Temple is a traditional Hindu temple located on the eastern edge of Mysore at the height of 1000ft on the Chamundi hills. Dedicated to and named after goddess Durga, the temple also has statues of Nandi and Mahishasura, the demon. Being one of the oldest temples in the palace city of Mysore, the temple is a must-visit attraction for the travellers.",
Mysore Zoo,About ,," Sri Chamarajendra Zoological Gardens, also known as the Mysore Zoo is one of the best zoological gardens in India. The world's first caesarian section delivery performed on an elephant in Mysore zoo gave it global fame and recognition. It is one of the oldest and most famous zoos in India.",
About Mysore / Mysuru ?,About,,,
,,,,
Buy in Mysore,FAQ.Mysore,,"Mysore is famous for Silk, Mysore pak, Sandalwood products, Rosewood artefacts, Khadi cotton and Incense Sticks / Agarbattis.",What to buy in Mysore/
Distance from Mysore to ITC Gardenia,Distance,,,
